codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;124512;IMOLA PAMBERA;VIA PAMBERA FR 95;IMOLA;715514;916147;44,364816;11,703621;510
1;124515;ZANOTTI BECCARIA;VIA ZANOTTI 20;IMOLA;714945;916192;44,36539;11,696507;510
1;124518;IMOLA TINTI SCUOLE;VIA TINTI FR CAMPO SPORTIVO;IMOLA;714660;916261;44,366095;11,692962;510
1;124528;ZOLINO;VIA GUALANDI FR 10;IMOLA;714352;916149;44,365178;11,689055;510
1;124531;ZOLINO GUALANDI;VIA FRATELLI GUALANDI 52/54/56/58;IMOLA;714430;916306;44,366567;11,690097;510
1;132101;IMOLA SAFFI CUP;V.LE SAFFI 44;IMOLA;715808;914867;44,353218;11,706776;510
1;150105;IMOLA IST. ALBERGHETTI;V.LE DANTE 1;IMOLA;716295;914612;44,35078;11,712774;510
1;151101;IMOLA PORTA MAZZINI;V.LE ZAPPI FR PL 21;IMOLA;716275;914673;44,351334;11,712549;510
1;151110;COLOMBARINA;VIA LEOPARDI 63;IMOLA;716736;914406;44,348796;11,718215;510
1;151133;IMOLA ANDREA COSTA;VIA COSTA 9;IMOLA;716559;915220;44,356169;11,716336;510
1;600018;SAN ROCCO FOSSATO DI MORT;RAMPARI DI SAN ROCCO;FERRARA;708318;968454;44,83732;11,634596;600
1;600160;CAVOUR ISONZO;VLE CAVOUR 170;FERRARA;706497;968913;44,841976;11,611767;600
1;600163;CAVOUR P. BERETTA;VIALE CAVOUR 45;FERRARA;706871;968679;44,839764;11,616399;600
1;600205;GIOVECCA PARCO PARESCHI;CSO DELLA GIOVECCA 169;FERRARA;707770;968120;44,834476;11,627533;600
1;600208;GIOVECCA CITTA` DELLA SAL;CSO DELLA GIOVECCA 200;FERRARA;708114;967894;44,832343;11,631788;600
1;600240;FRUTTETI MELO;VIA DEI FRUTTETI 78;FERRARA;708697;968341;44,836193;11,639339;600
1;600243;CALDIROLO;VIA CALDIROLO 140;FERRARA;708415;968720;44,839683;11,635931;600
1;600250;BORGO PUNTA;VIA BORGO PUNTA 193;FERRARA;708687;969132;44,843309;11,639538;600
1;600256;COPPARO MORARI;COPPARO 122;FERRARA;709138;969412;44,845695;11,645354;600
1;600259;CENTRO COMM.LE LE MURA;COPPARO 115;FERRARA;709369;969471;44,846158;11,648298;600
101;21;FILOPANTI;VIALE FILOPANTI PALO LUCE 398;BOLOGNA;687483;929806;44,495465;11,357088;500
101;27;PORTA MAGGIORE;VIALE ERCOLANI 6;BOLOGNA;687541;929307;44,490961;11,357636;500
101;500;BOLOGNA AUTOSTAZIONE;VIALE MASINI 3;BOLOGNA;686640;930729;44,503986;11,346827;500
101;1004;ALBERTONI;VIA MAZZINI 96;BOLOGNA;687993;928982;44,487921;11,363197;500
101;1027;ARNO;VIA DOZZA 1;BOLOGNA;690254;927852;44,477165;11,391193;500
101;1033;VILLAGGIO DUE MADONNE;VIA DOZZA 19/B;BOLOGNA;690576;927687;44,475596;11,395177;500
101;1043;SAN LAZZARO MUNICIPIO;VIA EMILIA 94;SAN LAZZARO DI SAVENA;691619;927176;44,470724;11,408091;501
101;1502;SAN LAZZARO JUSSI;VIA EMILIA 245;SAN LAZZARO DI SAVENA;692002;927005;44,469084;11,412838;501
101;10001;IDICE;VIA EMILIA 352;SAN LAZZARO DI SAVENA;693927;926036;44,459855;11,436656;501
101;10014;CAMPANA;VIA EMILIA 405;OZZANO DELL`EMILIA;695646;925209;44,451953;11,457932;501
101;10017;OLMATELLO;VIA EMILIA FR 27;OZZANO DELL`EMILIA;696373;924835;44,448392;11,466919;511
101;10030;TOLARA BIVIO;VIA EMILIA FR 408;OZZANO DELL`EMILIA;698327;923890;44,43936;11,491092;511
101;10033;CASETTI BONI;VIA EMILIA KM 97+850;OZZANO DELL`EMILIA;698720;923689;44,437444;11,495949;511
101;10046;OSTERIA GRANDE;VIA EMILIA PONENTE 6260;OSTERIA GRANDE;700473;922843;44,429352;11,517628;512
101;10049;BARCHETTA;VIA EMILIA PONENTE KM 95+230;OSTERIA GRANDE;701034;922551;44,42657;11,524557;512
101;10062;GALLO;VIA EMILIA PONENTE 3332;GALLO BOLOGNESE;703090;921552;44,417012;11,54997;513
